name,calories,protein_g,carbs_g,fats_g,sodium_mg,sugar_g,fiber_g,potassium_mg,phosphorus_mg,meal_type,tags
Oatmeal with Berries,280,8,52,5,80,12,6,200,150,breakfast,"vegetarian,vegan,low-sodium,high-fiber,low-gi,heart-healthy"
Scrambled Eggs with Spinach,220,16,4,15,260,1,1,250,200,breakfast,"vegetarian,gluten-free,low-carb,high-protein,heart-healthy"
Greek Yogurt Parfait,310,18,40,5,110,22,2,280,220,breakfast,"vegetarian,gluten-free,high-protein"
Avocado Toast on Whole Grain,340,10,38,17,300,2,7,300,180,breakfast,"vegetarian,vegan,high-fiber,heart-healthy"
Banana Pancakes (2pc),260,7,45,6,180,14,2,180,140,breakfast,"vegetarian,gluten-free"
Vegetable Poha,210,5,40,4,150,3,3,120,90,breakfast,"vegetarian,vegan,low-fat"
Moong Dal Chilla,180,10,24,4,200,2,4,160,130,breakfast,"vegetarian,vegan,high-protein,low-gi"
Chia Seed Pudding,250,7,30,10,60,8,9,210,170,breakfast,"vegetarian,vegan,low-sugar,high-fiber,gluten-free,dairy-free"
Idli with Sambar (3pc),280,9,52,3,400,3,3,180,140,breakfast,"vegetarian,vegan,low-fat"
Whole Grain Cereal with Almond Milk,290,8,48,7,200,10,5,220,180,breakfast,"vegan,high-fiber,dairy-free"
Grilled Chicken Salad,350,35,18,14,320,5,5,400,280,lunch,"gluten-free,high-protein,low-gi,heart-healthy"
Lentil Soup with Bread,380,18,58,6,350,4,12,420,260,lunch,"vegetarian,vegan,high-fiber,high-protein,low-sodium,kidney-friendly"
Quinoa Veggie Bowl,420,15,60,12,280,5,8,380,240,lunch,"vegetarian,vegan,gluten-free,high-fiber,anti-inflammatory"
Paneer Tikka with Roti,450,24,45,16,380,3,4,220,310,lunch,"vegetarian,gluten-free,high-protein"
Dal Makhani with Brown Rice,430,16,68,8,310,4,8,300,220,lunch,"vegetarian,high-fiber,low-gi"
Tuna Salad Wrap,390,32,35,10,480,3,4,340,290,lunch,"high-protein,low-sugar"
Chickpea Curry with Rice,440,14,72,8,290,5,10,350,240,lunch,"vegetarian,vegan,high-fiber,anti-inflammatory,low-sodium"
Grilled Fish Tacos (2pc),410,30,38,12,420,3,4,380,300,lunch,"gluten-free,high-protein,heart-healthy"
Veggie Stir Fry with Tofu,360,18,42,12,340,6,6,360,210,lunch,"vegetarian,vegan,anti-inflammatory,low-gi"
Turkey and Avocado Sandwich,420,28,38,16,460,4,5,320,260,lunch,"high-protein,heart-healthy"
Palak Paneer with Roti,400,20,44,14,330,3,6,280,270,lunch,"vegetarian,high-protein,anti-inflammatory"
Rajma Chawal,440,16,72,6,260,4,12,400,270,lunch,"vegetarian,vegan,high-fiber,kidney-friendly"
Baked Salmon with Vegetables,480,40,22,22,380,4,5,520,380,dinner,"gluten-free,high-protein,heart-healthy,omega-3"
Chicken Breast with Steamed Broccoli,390,42,20,10,310,3,5,480,320,dinner,"gluten-free,high-protein,low-carb"
Vegetable Dal with Brown Rice,400,14,68,6,270,4,10,320,210,dinner,"vegetarian,vegan,high-fiber,low-sodium,kidney-friendly"
Grilled Paneer with Quinoa,430,26,48,14,290,3,6,270,300,dinner,"vegetarian,gluten-free,high-protein"
Egg Curry with Whole Wheat Roti,420,22,46,14,380,3,5,260,240,dinner,"vegetarian,high-protein"
Tofu Stir Fry with Noodles,390,18,52,12,360,5,5,280,200,dinner,"vegetarian,vegan,anti-inflammatory"
Baked Chicken Tikka Masala,460,36,28,22,420,6,3,380,290,dinner,"gluten-free,high-protein"
Mushroom Risotto,420,12,68,10,310,3,3,280,220,dinner,"vegetarian,gluten-free,low-sugar"
Fish Curry with Brown Rice,470,34,52,12,400,4,4,420,310,dinner,"gluten-free,high-protein,omega-3"
Mixed Vegetable Soup,180,6,28,4,320,5,6,280,120,dinner,"vegetarian,vegan,low-calorie,low-sodium,gluten-free,kidney-friendly"
Stuffed Bell Peppers (veg),380,12,54,10,290,8,6,360,180,dinner,"vegetarian,vegan,anti-inflammatory,high-fiber"
Lemon Herb Baked Cod,340,38,12,12,350,2,2,400,340,dinner,"gluten-free,high-protein,low-calorie,heart-healthy,low-sodium"
Apple with Peanut Butter,190,5,24,10,60,16,4,180,80,snack,"vegetarian,vegan,gluten-free"
Mixed Nuts (30g),180,5,7,16,10,2,2,160,110,snack,"vegetarian,vegan,gluten-free,dairy-free,low-sugar"
Hummus with Carrot Sticks,120,5,16,4,180,3,4,260,90,snack,"vegetarian,vegan,gluten-free,low-calorie,low-sodium"
Greek Yogurt (plain),130,12,9,4,80,9,0,200,180,snack,"vegetarian,gluten-free,high-protein"
Boiled Egg,78,6,1,5,62,0,0,60,86,snack,"vegetarian,gluten-free,high-protein,low-calorie,low-sugar"
Fruit Salad (seasonal),130,2,32,1,10,24,4,280,40,snack,"vegetarian,vegan,gluten-free,dairy-free,low-sodium"
Roasted Chickpeas (30g),120,6,18,2,180,2,5,140,100,snack,"vegetarian,vegan,gluten-free,high-fiber,low-sugar"
Rice Cakes with Avocado,160,3,22,7,120,2,3,180,80,snack,"vegetarian,vegan,gluten-free,low-calorie"
Cottage Cheese with Cucumber,110,14,5,3,280,4,0,120,160,snack,"vegetarian,gluten-free,high-protein,low-calorie"
Banana,90,1,23,0,1,12,3,360,22,snack,"vegetarian,vegan,gluten-free,dairy-free,low-sodium,potassium-rich"
Walnuts (28g),185,4,4,18,1,1,2,125,98,snack,"vegetarian,vegan,gluten-free,dairy-free,anti-inflammatory,low-sugar"
